PULocationID,trips,total_fare,total_tips,total_revenue,sum_distance,avg_fare,avg_distance
137,132632,2340680.69,245027.95,3359424.03,364460.0,17.647933304179986,2.747903974908016
138,247881,11028865.19,2365000.95,17322967.97,2376425.35,44.49257986695228,9.586960477003078
139,1699,69687.36,130.79,76949.56999999999,19396.41,41.016692171865806,11.416368452030607
140,215395,3739249.22,530450.87,5419207.43,569237.69,17.359962951786255,2.642761856124794
141,239831,3600600.93,545487.28,5415302.86,504975.29,15.013075582389266,2.1055463638979113
142,301997,4674648.06,810080.74,7130036.19,665616.12,15.479120852193894,2.2040487819415424
143,124585,2145545.86,257835.62,3076245.96,298864.93,17.221542400770556,2.3988837339968696
144,112461,2244604.18,241746.98,3151786.04,292007.12,19.958956260392494,2.596518971021065
145,22035,691268.39,31929.25,849381.09,112373.48,31.37138143862038,5.099772180621738
146,11313,290797.29,12037.23,355046.86,48091.72,25.70470167064439,4.251013877839654
147,1784,58240.97,45.45,65196.92,12871.98,32.646283632286995,7.215235426008968
148,136742,2957146.85,263641.68,4034258.5,424794.29,21.625739348554212,3.106538517792631
149,1800,52496.27,215.69,56772.24,11129.98,29.164594444444443,6.183322222222222
150,1011,35716.55,118.41,38016.82,8559.64,35.32794263105836,8.46650840751731
151,86422,1509555.91,174503.19,2063230.43,235234.72,17.467264238272662,2.721930989794265
152,14373,357710.45,9711.53,428323.18,64690.48,24.88766784943992,4.500833507270577
153,697,22086.77,114.25,24211.32,5100.49,31.688335724533715,7.317776183644189
154,166,6305.56,268.89,7185.88,1322.05,37.98530120481928,7.964156626506024
155,3310,101936.44,389.71,110293.85,20568.28,30.796507552870093,6.213981873111782
156,33,1704.6100000000001,0.0,2051.73,398.25,51.654848484848486,12.068181818181818
157,4602,173565.67,8529.71,206366.37,24786.06,37.71526944806606,5.385932203389831
158,96150,1956389.41,219987.89,2760446.69,249415.36,20.34726375455018,2.5940235049401976
159,4752,136461.34,438.87,153385.69,28304.6,28.716611952861953,5.956355218855219
160,1992,64229.2,1486.27,75261.9,11409.64,32.24357429718875,5.727730923694779
161,426203,7718487.88,1296039.44,11655303.73,976646.83,18.109886321776244,2.2915062305990337
162,315246,5349198.86,960796.5,8222422.36,707822.72,16.96833222308927,2.2453027794167095
163,251241,4314194.33,753844.4,6584706.72,581810.05,17.171537806329383,2.3157448426013274
164,203661,3661724.72,525262.57,5449754.28,489640.98,17.9795086933679,2.404196090562258
165,3432,101743.56,417.47,111082.42,20762.01,29.64555944055944,6.049536713286713
