138	247881	11028865.19	2365000.95	17322967.97	44.49	9.54	9.59	7.29
139	1699	69687.36	130.79	76949.57	41.02	0.08	11.42	3.97
140	215395	3739249.22	530450.87	5419207.43	17.36	2.46	2.64	9.52
141	239831	3600600.93	545487.28	5415302.86	15.01	2.27	2.11	10.72
142	301997	4674648.06	810080.74	7130036.19	15.48	2.68	2.20	10.71
143	124585	2145545.86	257835.62	3076245.96	17.22	2.07	2.40	10.29
144	112461	2244604.18	241746.98	3151786.04	19.96	2.15	2.60	10.79
145	22035	691268.39	31929.25	849381.09	31.37	1.45	5.10	7.56
146	11313	290797.29	12037.23	355046.86	25.70	1.06	4.25	7.38
147	1784	58240.97	45.45	65196.92	32.65	0.03	7.22	5.07
148	136742	2957146.85	263641.68	4034258.50	21.63	1.93	3.11	9.50
149	1800	52496.27	215.69	56772.24	29.16	0.12	6.18	5.10
150	1011	35716.55	118.41	38016.82	35.33	0.12	8.47	4.44
151	86422	1509555.91	174503.19	2063230.43	17.47	2.02	2.72	8.77
152	14373	357710.45	9711.53	428323.18	24.89	0.68	4.50	6.62
153	697	22086.77	114.25	24211.32	31.69	0.16	7.32	4.75
154	166	6305.56	268.89	7185.88	37.99	1.62	7.96	5.44
155	3310	101936.44	389.71	110293.85	30.80	0.12	6.21	5.36
156	33	1704.61	0.00	2051.73	51.65	0.00	12.07	5.15
157	4602	173565.67	8529.71	206366.37	37.72	1.85	5.39	8.33
158	96150	1956389.41	219987.89	2760446.69	20.35	2.29	2.59	11.07
159	4752	136461.34	438.87	153385.69	28.72	0.09	5.96	5.42
160	1992	64229.20	1486.27	75261.90	32.24	0.75	5.73	6.60
161	426203	7718487.88	1296039.44	11655303.73	18.11	3.04	2.29	11.93
162	315246	5349198.86	960796.50	8222422.36	16.97	3.05	2.25	11.62
163	251241	4314194.33	753844.40	6584706.72	17.17	3.00	2.32	11.32
164	203661	3661724.72	525262.57	5449754.28	17.98	2.58	2.40	11.13
165	3432	101743.56	417.47	111082.42	29.65	0.12	6.05	5.35
166	65849	1415662.62	113571.27	1820261.67	21.50	1.72	3.47	7.98
167	3649	112495.91	251.41	124887.79	30.83	0.07	6.66	5.14
168	8281	243160.08	1745.19	277979.79	29.36	0.21	5.96	5.63
169	3085	95603.12	167.70	105222.69	30.99	0.05	6.89	4.95
170	268157	4630112.46	704579.66	6939192.32	17.27	2.63	2.37	10.94
171	984	30642.97	173.92	35530.56	31.14	0.18	7.55	4.78
172	87	3583.23	105.72	4250.80	41.19	1.22	7.23	6.76
173	1928	52282.98	354.34	60159.06	27.12	0.18	5.33	5.86
174	2652	95899.12	175.64	106391.98	36.16	0.07	9.30	4.31
175	619	22390.88	224.68	25966.46	36.17	0.36	9.32	4.50
176	47	1756.75	115.66	2320.05	37.38	2.46	7.71	6.40
177	8347	274557.81	542.45	301227.80	32.89	0.06	6.32	5.71
178	948	29565.24	94.77	32095.29	31.19	0.10	5.73	5.91
179	9543	280979.26	4689.17	339157.81	29.44	0.49	5.46	6.51
180	1504	46722.39	830.59	53093.17	31.07	0.55	6.25	5.65
181	13077	427247.99	10168.92	498143.63	32.67	0.78	5.62	6.77
182	3932	140195.12	841.34	156500.18	35.65	0.21	8.87	4.49
183	903	32228.13	205.57	36095.70	35.69	0.23	9.47	4.22
184	97	3949.65	46.45	4319.46	40.72	0.48	10.52	4.23
185	1951	68820.36	186.48	76663.53	35.27	0.10	8.82	4.46
186	316687	5529290.69	983028.85	8338171.06	17.46	3.10	2.30	11.47
187	23	874.12	12.74	1091.56	38.01	0.55	7.26	6.54
188	12693	395069.02	2929.94	438181.92	31.12	0.23	5.73	6.03
189	5413	181631.79	4495.21	209241.16	33.55	0.83	5.51	7.02
190	845	26917.42	703.87	31196.08	31.85	0.83	5.35	6.90
191	3157	120728.34	296.71	135165.53	38.24	0.09	10.00	4.28
192	941	29642.24	322.37	33965.63	31.50	0.34	7.14	5.06
